Unnamed: 0_x,State,County,Population_x,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Unnamed: 0_y,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment,Zipcode,Population_y,Unemployment Rate,% of Pop with no education,Latitude,Longitude
0,SC,Abbeville,25417,24360.33225,21510.19482,5176.769348,0.0,2360,10349.0,9637.0,712.0,7.0,,,,,,
1,LA,Acadia,61773,44415.58912,32874.79307,625.9709598999999,0.0,1135,25858.0,24088.0,1770.0,7.0,,,,,,
2,VA,Accomack,33164,30163.649719999998,26847.70482,727.000007,0.0,2870,15877.0,15012.0,865.0,5.0,,,,,,
3,ID,Ada,392365,299582.0814,137142.5048,209.47162619999997,1.931906998,567,217052.0,209058.0,7994.0,4.0,,,,,,
4,IA,Adair,7682,5496.847853,4916.79045,605.0662874,0.0,808,4226.0,4089.0,137.0,3.0,,,,,,
5,KY,Adair,18656,16197.379530000002,14058.086330000002,1068.049343,0.0,1014,6946.0,6429.0,517.0,7.0,,,,,,
6,MO,Adair,25607,21611.2062,13186.97002,1119.634024,0.0,1512,10446.0,9858.0,588.0,6.0,,,,,,
7,OK,Adair,22683,19747.83242,17285.97497,1067.465756,0.0,2171,8165.0,7669.0,496.0,6.0,,,,,,
8,CO,Adams,441603,316247.8734,129759.3745,1100.740722,36.21271418,254,247717.0,236940.0,10777.0,4.0,,,,,,
9,IA,Adams,4029,3091.34134,2367.5434370000003,243.4612725,0.0,809,2292.0,2227.0,65.0,3.0,,,,,,
10,ID,Adams,3976,2686.260296,2492.223434,424.20910180000004,39.9800677,568,1715.0,1583.0,132.0,8.0,,,,,,
11,IL,Adams,67103,49605.06843,29246.608669999998,3500.701159,0.0,612,32515.0,30895.0,1620.0,5.0,,,,,,
12,IN,Adams,34387,31448.748480000002,22940.88212,3.7328277830000003,0.0,715,16900.0,16254.0,646.0,4.0,,,,,,
13,MS,Adams,32297,28662.715839999997,20122.27106,569.7221867000001,0.740898397,1429,11414.0,10503.0,911.0,8.0,,,,,,
14,ND,Adams,2343,1350.377053,1038.168569,527.7341808,14.87545953,2028,1109.0,1077.0,32.0,3.0,,,,,,
15,NE,Adams,31364,23311.41714,13563.358530000001,1213.955563,0.0,1685,16611.0,16091.0,520.0,3.0,,,,,,
16,OH,Adams,28550,23530.97734,20153.79181,791.6686542,0.0,2082,10681.0,9842.0,839.0,8.0,,,,,,
17,PA,Adams,101407,85736.73104,70371.81979,0.0,0.0,2286,54988.0,52677.0,2311.0,4.0,,,,,,
18,WA,Adams,18728,13811.468990000001,9790.012246,1813.25276,335.2917771,3004,8618.0,8018.0,600.0,7.0,,,,,,
19,WI,Adams,20875,19943.74642,18388.84894,3389.6651469999997,0.0,3100,8335.0,7730.0,605.0,7.0,,,,,,
20,VT,Addison,36821,32722.2646,27325.41085,28.269034499999997,0.0,2855,20682.0,19964.0,718.0,4.0,,,,,,
21,SC,Aiken,160099,138224.6227,100872.3619,2168.0954079999997,0.0,2361,73925.0,69577.0,4348.0,6.0,,,,,,
22,MN,Aitkin,16202,15254.99295,13797.61309,4916.416544,200.62965390000002,1341,6871.0,6423.0,448.0,7.0,,,,,,
23,FL,Alachua,247336,198799.0466,106916.2448,191.07030319999998,0.0,334,129509.0,123529.0,5980.0,5.0,,,,,,
24,NC,Alamance,151131,128085.9565,87994.85692,2861.016177,0.0,1927,77289.0,73147.0,4142.0,5.0,,,,,,
25,CA,Alameda,1510271,757614.7222,190944.3297,111.8658841,0.0,195,823130.0,784217.0,38913.0,5.0,,,,,,
26,CO,Alamosa,15445,9652.189026,5791.60689,780.894017,68.55243062,255,7649.0,7254.0,395.0,5.0,,,,,,
27,NY,Albany,304204,225350.362,112026.4165,1005.170626,0.0,1864,159383.0,152461.0,6922.0,4.0,,,,,,
28,WY,Albany,36299,31175.31575,17725.090180000003,2010.579866,1177.394463,3173,20681.0,20027.0,654.0,3.0,,,,,,
29,VA,Albemarle,98970,82659.20244,56648.11187000001,289.1695166,0.0,2871,53914.0,51809.0,2105.0,4.0,,,,,,
30,MI,Alcona,10942,10421.52195,10120.44031,1264.48249,0.0,1257,3799.0,3494.0,305.0,8.0,,,,,,
31,MS,Alcorn,37057,33431.89231,28022.029739999998,1177.211228,0.0,1430,15724.0,14837.0,887.0,6.0,,,,,,
32,AK,Aleutians East,3141,2816.445715,2289.55031,1226.050471,1122.13804,,,,,,,,,,,
33,AK,Aleutians West,5561,4299.800005,3489.2203289999998,717.3822682,706.0000107000001,,,,,,,,,,,
