,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State
0,Abbeville,9451.794654000001,10638.20832,2422.056046,0.0,25417,SC
1,Acadia,11284.81213,17453.87802,233.7670294,0.0,61773,LA
2,Accomack,10809.97223,11984.53711,252.378241,0.0,33164,VA
3,Ada,28009.707110000003,76201.38101,48.99173978,0.532825746,392365,ID
4,Adair,1358.349543,1541.07575,157.9810003,0.0,7682,IA
5,Adair,7112.8246,8161.16748,551.0133848999999,0.0,18656,KY
6,Adair,5490.2108880000005,9071.183748000001,422.7315333000001,0.0,25607,MO
7,Adair,9564.539217,11044.654690000001,531.1358378000001,0.0,22683,OK
8,Adams,27188.67653,92400.38141,159.95362869999997,6.797278039,441603,CO
9,Adams,714.9917522000001,1008.8390390000001,71.27473093,0.0,4029,IA
10,Adams,962.289276,1037.9161589999999,163.7263572,15.64253475,3976,ID
11,Adams,6741.466969,13915.32439,875.151678,0.0,67103,IL
12,Adams,9071.067385,12052.88601,2.9136595130000003,0.0,34387,IN
13,Adams,11784.80643,15750.42266,317.92887410000003,0.419748515,32297,MS
14,Adams,498.3589971,625.3789013999999,254.40387709999996,7.469743002,2343,ND
15,Adams,4054.091625,7580.807572,297.37114239999994,0.0,31364,NE
16,Adams,9628.227157,11311.30075,479.355533,0.0,28550,OH
17,Adams,15604.99477,19724.083919999997,0.0,0.0,101407,PA
18,Adams,5143.864867,7323.655247,701.9543808999999,121.32756509999999,18728,WA
19,Adams,6405.854768,7207.217933,1249.543977,0.0,20875,WI
20,Addison,6258.88867,8403.893604,9.336153158,0.0,36821,VT
21,Aiken,33843.36756,48193.81292,893.4793619999999,0.0,160099,SC
22,Aitkin,5008.851718999999,5770.868614999999,1944.2919940000002,63.63166869,16202,MN
23,Alachua,34761.3219,76529.32897999999,82.20979709999999,0.0,247336,FL
24,Alamance,32736.36652,48403.18819,920.2162992999998,0.0,151131,NC
25,Alameda,27326.01862,160532.2577,7.479724854,0.0,1510271,CA
26,Alamosa,2224.688841,3917.336496,316.6867557,17.57329526,15445,CO
27,Albany,19820.82709,50369.63185,153.74643989999998,0.0,304204,NY
28,Albany,5591.793137,12211.15865,359.6098061,243.1887759,36299,WY
29,Albemarle,9819.657623000001,16078.519369999998,69.54222849,0.0,98970,VA
30,Alcona,4034.146554,4155.143457,508.01128969999996,0.0,10942,MI
31,Alcorn,11926.95186,14665.70452,392.1363515,0.0,37057,MS
32,Aleutians East,1235.612066,1500.330612,699.7189612000001,640.0997863,3141,AK
