Unnamed: 0_x,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State,Unnamed: 0_y,Civilian labour force,Employed poulation,Rate of Unemployment,Unemployed population
0,Abbeville,9451.794654000001,10638.20832,2422.056046,0.0,25417,SC,2360,10349.0,9637.0,7.0,712.0
1,Acadia,11284.81213,17453.87802,233.7670294,0.0,61773,LA,1135,25858.0,24088.0,7.0,1770.0
2,Accomack,10809.97223,11984.53711,252.378241,0.0,33164,VA,2870,15877.0,15012.0,5.0,865.0
3,Ada,28009.707110000003,76201.38101,48.99173978,0.532825746,392365,ID,567,217052.0,209058.0,4.0,7994.0
4,Adair,1358.349543,1541.07575,157.9810003,0.0,7682,IA,808,4226.0,4089.0,3.0,137.0
5,Adair,7112.8246,8161.16748,551.0133848999999,0.0,18656,KY,1014,6946.0,6429.0,7.0,517.0
6,Adair,5490.2108880000005,9071.183748000001,422.7315333000001,0.0,25607,MO,1512,10446.0,9858.0,6.0,588.0
7,Adair,9564.539217,11044.654690000001,531.1358378000001,0.0,22683,OK,2171,8165.0,7669.0,6.0,496.0
8,Adams,27188.67653,92400.38141,159.95362869999997,6.797278039,441603,CO,254,247717.0,236940.0,4.0,10777.0
9,Adams,714.9917522000001,1008.8390390000001,71.27473093,0.0,4029,IA,809,2292.0,2227.0,3.0,65.0
10,Adams,962.289276,1037.9161589999999,163.7263572,15.64253475,3976,ID,568,1715.0,1583.0,8.0,132.0
11,Adams,6741.466969,13915.32439,875.151678,0.0,67103,IL,612,32515.0,30895.0,5.0,1620.0
12,Adams,9071.067385,12052.88601,2.9136595130000003,0.0,34387,IN,715,16900.0,16254.0,4.0,646.0
13,Adams,11784.80643,15750.42266,317.92887410000003,0.419748515,32297,MS,1429,11414.0,10503.0,8.0,911.0
14,Adams,498.3589971,625.3789013999999,254.40387709999996,7.469743002,2343,ND,2028,1109.0,1077.0,3.0,32.0
15,Adams,4054.091625,7580.807572,297.37114239999994,0.0,31364,NE,1685,16611.0,16091.0,3.0,520.0
16,Adams,9628.227157,11311.30075,479.355533,0.0,28550,OH,2082,10681.0,9842.0,8.0,839.0
17,Adams,15604.99477,19724.083919999997,0.0,0.0,101407,PA,2286,54988.0,52677.0,4.0,2311.0
18,Adams,5143.864867,7323.655247,701.9543808999999,121.32756509999999,18728,WA,3004,8618.0,8018.0,7.0,600.0
19,Adams,6405.854768,7207.217933,1249.543977,0.0,20875,WI,3100,8335.0,7730.0,7.0,605.0
20,Addison,6258.88867,8403.893604,9.336153158,0.0,36821,VT,2855,20682.0,19964.0,4.0,718.0
21,Aiken,33843.36756,48193.81292,893.4793619999999,0.0,160099,SC,2361,73925.0,69577.0,6.0,4348.0
22,Aitkin,5008.851718999999,5770.868614999999,1944.2919940000002,63.63166869,16202,MN,1341,6871.0,6423.0,7.0,448.0
23,Alachua,34761.3219,76529.32897999999,82.20979709999999,0.0,247336,FL,334,129509.0,123529.0,5.0,5980.0
24,Alamance,32736.36652,48403.18819,920.2162992999998,0.0,151131,NC,1927,77289.0,73147.0,5.0,4142.0
25,Alameda,27326.01862,160532.2577,7.479724854,0.0,1510271,CA,195,823130.0,784217.0,5.0,38913.0
26,Alamosa,2224.688841,3917.336496,316.6867557,17.57329526,15445,CO,255,7649.0,7254.0,5.0,395.0
27,Albany,19820.82709,50369.63185,153.74643989999998,0.0,304204,NY,1864,159383.0,152461.0,4.0,6922.0
28,Albany,5591.793137,12211.15865,359.6098061,243.1887759,36299,WY,3173,20681.0,20027.0,3.0,654.0
29,Albemarle,9819.657623000001,16078.519369999998,69.54222849,0.0,98970,VA,2871,53914.0,51809.0,4.0,2105.0
30,Alcona,4034.146554,4155.143457,508.01128969999996,0.0,10942,MI,1257,3799.0,3494.0,8.0,305.0
31,Alcorn,11926.95186,14665.70452,392.1363515,0.0,37057,MS,1430,15724.0,14837.0,6.0,887.0
32,Aleutians East,1235.612066,1500.330612,699.7189612000001,640.0997863,3141,AK,,,,,
33,Aleutians West,1569.045516,2029.884594,400.7432022,396.30057220000003,5561,AK,,,,,
34,Alexander,2622.2333289999997,3199.86687,1408.553069,0.0,8238,IL,613,2291.0,2081.0,9.0,210.0
35,Alexander,11471.9224,12844.0135,21.00158226,0.0,37198,NC,1928,17539.0,16675.0,5.0,864.0
36,Alexandria,0.0,4403.8639299999995,0.0,0.0,139966,VA,2965,94154.0,91055.0,3.0,3099.0
37,Alfalfa,1356.979924,1632.501143,1045.5738119999999,0.0,5642,OK,2172,3164.0,3070.0,3.0,94.0
38,Alger,2848.68311,3038.7362559999997,1208.939369,350.508451,9601,MI,1258,3223.0,2949.0,9.0,274.0
39,Allamakee,3100.30508,4014.4397270000004,347.3983913,0.0,14330,IA,810,7703.0,7325.0,5.0,378.0
40,Allegan,22211.446190000002,29150.6381,75.8044155,0.0,111408,MI,1259,60372.0,57870.0,4.0,2502.0
41,Allegany,18380.01683,23769.463030000003,387.8052013,0.0,75087,MD,1217,32391.0,30133.0,7.0,2258.0
42,Allegany,14527.75836,16196.2657,52.8832945,0.0,48946,NY,1865,20458.0,19129.0,7.0,1329.0
43,Alleghany,4485.066137,5081.642081,152.0132399,0.0,11155,NC,1929,4466.0,4192.0,6.0,274.0
44,Alleghany,3137.299083,4030.635962,193.488026,0.0,16250,VA,2872,7048.0,6691.0,5.0,357.0
45,Allegheny,87109.82527,244314.0416,0.0,0.0,1223348,PA,2287,647492.0,615407.0,5.0,32085.0
46,Allen,46989.33204,85331.03338,344.7571838,0.0,355329,IN,716,178025.0,169826.0,5.0,8199.0
47,Allen,3042.678554,3929.9252149999998,540.2754415,0.0,13371,KS,908,6606.0,6268.0,5.0,338.0
48,Allen,6638.960647,7695.088619,103.0028813,0.0,19956,KY,1015,8589.0,8168.0,5.0,421.0
49,Allen,9130.071699,11072.80924,2931.9972199999997,0.0,25764,LA,1136,8839.0,8224.0,7.0,615.0
