,City,"Murder Rate (per 100,000)",Murders,Population,Source,State
0,Chicago,19.7,378,2720546.0,https://portal.chicagopolice.org/portal/page/portal/ClearPath/News/Crime%20Statistics,Illinois
1,Orlando,26.9,19,270934.0,OPD,Florida
2,Memphis,24.1,114,655770.0,MPD,Tennessee
3,Phoenix,7.1,72,1563025.0,PPD,Arizona
4,Las Vegas,20.0,90,623747.0,http://www.lvmpd.com/Sections/Homicide/HomicideLog/tabid/454/Default.aspx,Nevada
5,San Antonio,7.6,78,1469845.0,SAPD,Texas
6,Louisville,12.8,52,615366.0,https://louisvilleky.gov/government/police/lmpd-transparency,Kentucky
7,Dallas,9.1,95,1300092.0,DPD,Texas
8,Houston,9.2,191,2296224.0,http://www.houstontx.gov/police/cs/index-2.htm,Texas
9,Fort Wayne,13.1,17,260326.0,FWPD,Indiana
10,Atlanta,18.3,68,463878.0,http://www.atlantapd.org/crimedatadownloads.aspx,Georgia
11,Indianapolis,13.7,102,853173.0,IPD,Indiana
12,Austin,3.0,13,931830.0,http://www.austintexas.gov/page/chiefs-monthly-reports,Texas
13,Kansas City,18.9,77,475378.0,http://kcmo.gov/police/homicide-3/crime-stats/,Missouri
14,Arlington,4.4,4,388125.0,http://www.arlington-tx.gov/police/wp-content/uploads/sites/9/2016/08/UCR-Crime-Summary.pdf,Texas
15,San Jose,3.4,22,1026908.0,http://www.sjpd.org/CrimeStats/updates/Part_One_Crimes_Reported_YTD.pdf?cacheID=20160921,California
16,Albuquerque,8.2,35,559121.0,APD,New Mexico
17,Jacksonville,115.8,67,67357.0,JPSO,Florida
18,Santa Ana,6.0,10,335400.0,SAPD,California
19,Tulsa,12.9,43,403505.0,TPD,Oklahoma
20,Lincoln,3.2,0,277348.0,http://www.lincoln.ne.gov/city/police/stats/stats.htm,Nebraska
21,Stockton,12.4,30,305658.0,SPD,California
22,Anchorage,8.7,19,298695.0,APD,Alaska
23,Buffalo,14.7,31,258071.0,http://www.bpdny.org/Home/Statistics,New York
24,San Diego,2.2,23,1394928.0,http://crimestats.arjis.org/default.aspx,California
25,Mobile,6.2,6,194288.0,https://www.mobilepd.org/precinct/pdf/UCR_April_Public.pdf,Alabama
26,Greensboro,7.0,15,285342.0,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=29678,North Carolina
27,Durham,11.6,25,257636.0,https://durhamnc.gov/ArchiveCenter/ViewFile/Item/2419,North Carolina
28,Detroit,32.6,216,677116.0,DPD,Michigan
29,St. Petersburg,,9,,SPPD,Florida
30,Philadelphia,13.6,209,1567442.0,https://www.phillypolice.com/crime-maps-stats/,Pennsylvania
31,Long Beach,6.1,25,474140.0,http://homicide.latimes.com/neighborhood/long-beach/year/2016,California
32,Lexington,5.1,13,314488.0,LPD,Kentucky
33,Aurora,8.0,13,200661.0,APD,Colorado
34,Jersey City,5.3,11,264290.0,http://www.njjcpd.org/node/5,New Jersey
35,Plano,1.8,2,283558.0,http://www.plano.gov/DocumentCenter/View/119,Texas
