,City,State,County,Average Rent
0,New York,NY,Queens,2978
1,Los Angeles,CA,Los Angeles,3195
2,Chicago,IL,Cook,1758
3,Houston,TX,Harris,1490
4,San Antonio,TX,Bexar,1115
5,Philadelphia,PA,Philadelphia,1476
6,Phoenix,AZ,Maricopa,1194
7,Las Vegas,NV,Clark,1220
8,San Diego,CA,San Diego,2342
9,Dallas,TX,Dallas,1395
10,San Jose,CA,Santa Clara,3031
11,Austin,TX,Travis,1460
12,Jacksonville,FL,Duval,1084
13,San Francisco,CA,San Francisco,4552
14,Indianapolis,IN,Marion,892
15,Charlotte,NC,Mecklenburg,1228
16,Fort Worth,TX,Tarrant,1389
17,Columbus,OH,Franklin,1087
18,Tucson,AZ,Pima,1044
19,Louisville,KY,Jefferson,934
20,El Paso,TX,El Paso,1126
21,Detroit,MI,Wayne,750
22,Orlando,FL,Orange,1301
23,Denver,CO,Denver,1968
24,Seattle,WA,King,2259
25,Memphis,TN,Shelby,876
26,Boston,MA,Suffolk,2617
27,Washington,DC,District of Columbia,2509
28,Nashville,TN,Davidson,1515
29,Portland,OR,Multnomah,1724
30,Sacramento,CA,Sacramento,1286
31,Baltimore,MD,Baltimore City,1359
32,Milwaukee,WI,Milwaukee,1032
33,Fresno,CA,Fresno,301
34,Omaha,NE,Douglas, $-   
35,Albuquerque,NM,Bernalillo,1187
36,Oklahoma City,OK,Oklahoma,1120
37,Raleigh,NC,Wake,1217
38,Mesa,AZ,Maricopa,1178
39,Atlanta,GA,Fulton,1200
40,Kansas City,MO,Jackson,848
41,Long Beach,CA,Los Angeles,1960
42,Colorado Springs,CO,El Paso,1284
43,Virginia Beach,VA,Virginia Beach City,1406
44,Miami,FL,Miami-Dade,2382
45,Oakland,CA,Alameda,2607
46,Tulsa,OK,Tulsa,980
47,Minneapolis,MN,Hennepin,1523
48,Honolulu,HI,Honolulu,2511
49,Cleveland,OH,Cuyahoga,830
50,New Orleans,LA,Orleans Parish,708
51,Arlington,TX,Tarrant,1343
52,Baton Rouge,LA,East Baton Rouge Parish,1207
53,Wichita,KS,Sedgwick,871
54,Knoxville,TN,Knox,1034
55,Tampa,FL,Hillsborough,1315
56,Aurora,CO,Arapahoe,1616
57,Riverside,CA,Riverside,1803
58,Bakersfield,CA,Kern,1396
59,Pittsburgh,PA,Allegheny,1279
60,Cincinnati,OH,Hamilton,995
61,Anaheim,CA,Orange,2290
62,Santa Ana,CA,Orange, $-   
63,Columbia,SC,Richland,1100
64,Islip,NY,Suffolk,2071
65,Marietta,GA,Cobb,1370
66,Corpus Christi,TX,Nueces,1543
67,Saint Louis,MO,Saint Louis City,1045
68,Lexington,KY,Fayette,1117
69,Fort Wayne,IN,Allen,626
70,Greensboro,NC,Guilford,936
71,Silver Spring,MD,Montgomery,1987
72,Toledo,OH,Lucas,779
73,Anchorage,AK,Anchorage Borough,1822
74,Saint Paul,MN,Ramsey,1272
75,Naples,FL,Collier, $-   
76,Durham,NC,Durham,1279
77,Tallahassee,FL,Leon,960
78,Stockton,CA,San Joaquin,1253
79,Plano,TX,Collin,1832
80,Newark,NJ,Essex,1308
81,Henderson,NV,Clark,1383
82,Lincoln,NE,Lancaster,1154
83,Modesto,CA,Stanislaus,1204
84,Chandler,AZ,Maricopa,1400
85,Lubbock,TX,Lubbock,1138
86,Jersey City,NJ,Hudson,2178
87,Reno,NV,Washoe,1390
88,Buffalo,NY,Erie, $-   
89,Mobile,AL,Mobile,860
90,Hialeah,FL,Miami-Dade, $-   
91,San Bernardino,CA,San Bernardino,1351
92,Chula Vista,CA,San Diego,2199
93,Saint Petersburg,FL,Pinellas,1228
94,Pensacola,FL,Escambia,924
95,Lawrenceville,GA,Gwinnett,1271
96,Winston-Salem,NC,Forsyth,949
97,Spokane,WA,Spokane, $-   
98,Madison,WI,Dane,1490
99,Norfolk,VA,Norfolk City,1285
100,Glendale,AZ,Maricopa,1113
101,Scottsdale,AZ,Maricopa, $-   
102,Fayetteville,NC,Cumberland,868
103,Boise,ID,Ada,1096
104,Irvine,CA,Orange,2953
105,Laredo,TX,Webb, $-   
106,Sarasota,FL,Sarasota, $-   
107,Chesapeake,VA,Chesapeake City,1444
108,Fort Myers,FL,Lee, $-   
109,Garland,TX,Dallas,1283
110,Gilbert,AZ,Maricopa,1388
111,North Las Vegas,NV,Clark,1146
112,Fremont,CA,Alameda,2833
113,Santa Clarita,CA,Los Angeles,2325
114,Fontana,CA,San Bernardino,1984
115,Irving,TX,Dallas,1674
116,Arlington,VA,Arlington,2310
117,Springfield,MO,Greene,656
118,Birmingham,AL,Jefferson,763
119,Santa Rosa,CA,Sonoma, $-   
120,Greenville,SC,Greenville,1149
121,Oxnard,CA,Ventura,2371
122,Richmond,VA,Richmond City,1132
123,Des Moines,IA,Polk,975
124,Ocala,FL,Marion,899
125,Boca Raton,FL,Palm Beach,2079
126,Bradenton,FL,Manatee, $-   
127,Woodbridge,VA,Prince William,1795
128,Rochester,NY,Monroe, $-   
129,Montgomery,AL,Montgomery,841
130,Corona,CA,Riverside,2125
131,Oceanside,CA,San Diego,2127
132,Tacoma,WA,Pierce,1312
133,Grand Rapids,MI,Kent,1041
134,Gainesville,FL,Alachua,994
135,Yonkers,NY,Westchester, $-   
136,Shreveport,LA,Caddo Parish,923
137,Glendale,CA,Los Angeles,2593
138,Augusta,GA,Richmond, $-   
139,Moreno Valley,CA,Riverside,1540
140,Akron,OH,Summit,730
141,Aurora,IL,Kane,1535
142,Wilmington,NC,New Hanover,1178
143,Huntington Beach,CA,Orange,2810
144,Eugene,OR,Lane,1254
145,Salt Lake City,UT,Salt Lake,1255
146,Port Saint Lucie,FL,Saint Lucie,1358
147,Salinas,CA,Monterey, $-   
148,Amarillo,TX,Potter,1261
149,Little Rock,AR,Pulaski,973
150,Fort Collins,CO,Larimer,1617
151,Brownsville,TX,Cameron, $-   
152,Rockford,IL,Winnebago,812
153,Evansville,IN,Vanderburgh,705
154,Worcester,MA,Worcester,1286
155,Overland Park,KS,Johnson,1512
156,Lancaster,CA,Los Angeles,1433
157,Garden Grove,CA,Orange,2178
158,Grand Prairie,TX,Dallas,1426
159,Escondido,CA,San Diego,1959
160,Providence,RI,Providence, $-   
161,Fort Lauderdale,FL,Broward,1805
162,Ontario,CA,San Bernardino,1771
163,Columbus,GA,Muscogee,853
164,Sioux Falls,SD,Minnehaha, $-   
165,Charleston,SC,Charleston,1639
166,Kissimmee,FL,Osceola,1285
167,Clarksville,TN,Montgomery,1054
168,Chattanooga,TN,Hamilton,1124
169,Tempe,AZ,Maricopa,1313
170,Murfreesboro,TN,Rutherford,1268
171,Rancho Cucamonga,CA,San Bernardino,2137
172,Killeen,TX,Bell,939
173,Fredericksburg,VA,Spotsylvania,1502
174,Palmdale,CA,Los Angeles,1550
175,Cape Coral,FL,Lee, $-   
176,Savannah,GA,Chatham,1225
177,Vancouver,WA,Clark,1470
178,Newport News,VA,Newport News City,1182
179,El Cajon,CA,San Diego, $-   
180,Jackson,MS,Hinds,788
181,Elk Grove,CA,Sacramento,1638
182,Peoria,AZ,Maricopa,1291
183,Naperville,IL,DuPage,1806
184,Fairfax,VA,Fairfax,2180
185,Boynton Beach,FL,Palm Beach,1716
186,Topeka,KS,Shawnee,774
187,McKinney,TX,Collin,1724
188,Lafayette,LA,Lafayette Parish,1317
189,Sugar Land,TX,Fort Bend,1978
190,Pembroke Pines,FL,Broward,1885
191,Edmond,OK,Oklahoma,1456
192,Pueblo,CO,Pueblo, $-   
193,Salem,OR,Marion,1235
194,Springfield,MA,Hampden,850
195,Spring,TX,Harris,1552
196,Henrico,VA,Henrico,1334
197,Dayton,OH,Montgomery,681
198,Lakewood,CO,Jefferson,1391
199,Cumming,GA,Forsyth,1651
200,Alexandria,VA,Alexandria City,1901
201,Tyler,TX,Smith, $-   
202,Pomona,CA,Los Angeles,1864
203,Visalia,CA,Tulare,1228
204,Cypress,TX,Harris,1710
205,Round Rock,TX,Williamson,1489
206,Kansas City,KS,Wyandotte,805
207,Hollywood,FL,Broward,1803
208,Sunnyvale,CA,Santa Clara,3479
209,Las Cruces,NM,Dona Ana,956
210,Conroe,TX,Montgomery,1586
211,Lansing,MI,Ingham,758
212,South Bend,IN,Saint Joseph,666
213,Pasadena,TX,Harris, $-   
214,Cary,NC,Wake,1556
215,Paterson,NJ,Passaic, $-   
216,Beaumont,TX,Jefferson, $-   
217,Yuma,AZ,Yuma,980
218,Columbia,MO,Boone,985
219,Syracuse,NY,Onondaga, $-   
220,Frisco,TX,Collin,2015
221,Renton,WA,King,1812
222,Bridgeport,CT,Fairfield,1352
223,Edinburg,TX,Hidalgo, $-   
224,Canton,OH,Stark,665
225,Newark,DE,New Castle,1406
226,Mesquite,TX,Dallas,1192
227,Metairie,LA,Jefferson Parish,1419
228,Pasadena,CA,Los Angeles,2515
229,Santa Maria,CA,Santa Barbara, $-   
230,Torrance,CA,Los Angeles,2746
231,Clearwater,FL,Pinellas, $-   
232,Fullerton,CA,Orange,2452
233,McAllen,TX,Hidalgo,1325
234,Orange,CA,Orange,2514
235,Hampton,VA,Hampton City,1153
