,Civilian labour force,County,Employed poulation,Rate of Unemployment,State,Unemployed population
2,25602.0,Autauga,24272.0,5.0,AL,1330.0
3,87705.0,Baldwin,82843.0,6.0,AL,4862.0
4,8609.0,Barbour,7844.0,9.0,AL,765.0
5,8572.0,Bibb,8005.0,7.0,AL,567.0
6,24473.0,Blount,23152.0,5.0,AL,1321.0
7,4777.0,Bullock,4398.0,8.0,AL,379.0
8,9134.0,Butler,8440.0,8.0,AL,694.0
9,45910.0,Calhoun,42679.0,7.0,AL,3231.0
10,14975.0,Chambers,14069.0,6.0,AL,906.0
11,11158.0,Cherokee,10549.0,6.0,AL,609.0
12,19133.0,Chilton,18054.0,6.0,AL,1079.0
13,4378.0,Choctaw,3980.0,9.0,AL,398.0
14,7992.0,Clarke,7054.0,12.0,AL,938.0
15,5548.0,Clay,5208.0,6.0,AL,340.0
16,5677.0,Cleburne,5335.0,6.0,AL,342.0
17,20269.0,Coffee,19062.0,6.0,AL,1207.0
18,23603.0,Colbert,21733.0,8.0,AL,1870.0
19,4681.0,Conecuh,4249.0,9.0,AL,432.0
20,4426.0,Coosa,4130.0,7.0,AL,296.0
21,15457.0,Covington,14353.0,7.0,AL,1104.0
22,6355.0,Crenshaw,5974.0,6.0,AL,381.0
23,36384.0,Cullman,34472.0,5.0,AL,1912.0
24,19837.0,Dale,18575.0,6.0,AL,1262.0
25,15589.0,Dallas,14094.0,10.0,AL,1495.0
26,28767.0,DeKalb,27022.0,6.0,AL,1745.0
27,36743.0,Elmore,34897.0,5.0,AL,1846.0
28,14597.0,Escambia,13571.0,7.0,AL,1026.0
29,42684.0,Etowah,40045.0,6.0,AL,2639.0
30,6422.0,Fayette,5971.0,7.0,AL,451.0
31,13661.0,Franklin,12782.0,6.0,AL,879.0
32,10785.0,Geneva,10147.0,6.0,AL,638.0
33,2878.0,Greene,2559.0,11.0,AL,319.0
34,6047.0,Hale,5577.0,8.0,AL,470.0
35,6715.0,Henry,6259.0,7.0,AL,456.0
36,44550.0,Houston,41767.0,6.0,AL,2783.0
37,23461.0,Jackson,21900.0,7.0,AL,1561.0
38,310883.0,Jefferson,292958.0,6.0,AL,17925.0
39,5615.0,Lamar,5260.0,6.0,AL,355.0
40,42649.0,Lauderdale,39687.0,7.0,AL,2962.0
41,13673.0,Lawrence,12616.0,8.0,AL,1057.0
42,70859.0,Lee,67140.0,5.0,AL,3719.0
43,39948.0,Limestone,37757.0,6.0,AL,2191.0
44,3827.0,Lowndes,3385.0,12.0,AL,442.0
45,7967.0,Macon,7326.0,8.0,AL,641.0
46,170889.0,Madison,161516.0,6.0,AL,9373.0
