Zipcode,Type,State,County,Population,Unemployment Rate,Rate of people with no education
10001,STANDARD,NY,New York County,23537.0,5.247057823851808,1.3680588010366657
10002,STANDARD,NY,New York County,80736.0,4.352457391993658,4.859046769718589
10003,STANDARD,NY,New York County,57112.0,3.8906009244992297,0.5200308166409862
10004,STANDARD,NY,New York County,3221.0,4.284383731760323,0.3104625892579944
10005,STANDARD,NY,New York County,8131.0,2.939367851432788,0.012298610257040954
10006,STANDARD,NY,New York County,3110.0,2.1543408360128615,0.45016077170418006
10007,STANDARD,NY,New York County,6876.0,0.9016870273414777,0.36358347876672487
10009,STANDARD,NY,New York County,60865.0,3.338536104493551,1.7990635011911609
10010,STANDARD,NY,New York County,31447.0,3.8064044264953734,0.7472890895792922
10011,STANDARD,NY,New York County,52349.0,3.3983457181608054,0.7736537469674684
10012,STANDARD,NY,New York County,24163.0,3.6046848487356704,0.7449406116790134
10013,STANDARD,NY,New York County,27415.0,2.5387561553893856,2.710195148641255
10014,STANDARD,NY,New York County,30727.0,3.8858333062127772,0.035799134311843006
10016,STANDARD,NY,New York County,50641.0,3.4477992140755513,0.48379771331529786
10017,STANDARD,NY,New York County,16472.0,2.525497814473045,0.40067994171928123
10018,STANDARD,NY,New York County,9168.0,3.3158813263525304,1.4943280977312392
10019,STANDARD,NY,New York County,38830.0,3.9067731135719805,1.1048158640226629
10020,STANDARD,NY,New York County,0.0,,
10021,STANDARD,NY,New York County,43573.0,1.803869368645721,0.29834989557753655
10022,STANDARD,NY,New York County,30607.0,2.9274349005129547,0.3169209657921391
10023,STANDARD,NY,New York County,60586.0,2.9445746542105438,0.5397286501832106
10024,STANDARD,NY,New York County,58391.0,2.3205631004778136,0.6867496703259064
10025,STANDARD,NY,New York County,96068.0,4.522837989757256,1.0898530207769497
10026,STANDARD,NY,New York County,38310.0,4.3565648655703475,1.5583398590446358
10027,STANDARD,NY,New York County,64413.0,2.901588188719668,1.6130284259388632
10028,STANDARD,NY,New York County,46883.0,2.7174028965723185,0.3007486722266067
10029,STANDARD,NY,New York County,79251.0,5.703398064377737,2.678830551034056
10030,STANDARD,NY,New York County,29209.0,8.980108870553597,2.413639631620391
10031,STANDARD,NY,New York County,59244.0,6.174464924718115,2.020457767875228
10032,STANDARD,NY,New York County,62685.0,6.944245034697296,2.823642019621919
10033,STANDARD,NY,New York County,59844.0,7.903883430251988,2.53492413608716
10034,STANDARD,NY,New York County,43405.0,8.734016818338901,2.354567446146757
10035,STANDARD,NY,New York County,33920.0,4.495872641509434,2.293632075471698
10036,STANDARD,NY,New York County,25799.0,4.930423659831776,0.45738206907244466
10037,STANDARD,NY,New York County,18777.0,5.884859136177238,1.757469244288225
10038,STANDARD,NY,New York County,21464.0,3.5408125232948193,4.099888184867686
10039,STANDARD,NY,New York County,26697.0,9.982395025658313,1.3971607296700004
10040,STANDARD,NY,New York County,44378.0,6.356753346252647,2.568840416422552
10044,STANDARD,NY,New York County,11783.0,2.809131800050921,1.1117711957905456
10065,STANDARD,NY,New York County,30237.0,2.3415021331481296,0.0
10069,STANDARD,NY,New York County,5526.0,2.515381831342743,0.6876583423814694
10075,STANDARD,NY,New York County,25756.0,2.6207485634415284,0.20189470414660662
10103,STANDARD,NY,New York County,0.0,,
10110,STANDARD,NY,New York County,0.0,,
10111,STANDARD,NY,New York County,0.0,,
10112,STANDARD,NY,New York County,0.0,,
10115,STANDARD,NY,New York County,0.0,,
10119,STANDARD,NY,New York County,0.0,,
10128,STANDARD,NY,New York County,61927.0,2.766160156313078,0.24706509277052013
10152,STANDARD,NY,New York County,0.0,,
10153,STANDARD,NY,New York County,0.0,,
10154,STANDARD,NY,New York County,0.0,,
10162,STANDARD,NY,New York County,1289.0,3.1807602792862686,0.0
10165,STANDARD,NY,New York County,0.0,,
10167,STANDARD,NY,New York County,0.0,,
10168,STANDARD,NY,New York County,0.0,,
10169,STANDARD,NY,New York County,0.0,,
10170,STANDARD,NY,New York County,0.0,,
10171,STANDARD,NY,New York County,0.0,,
10172,STANDARD,NY,New York County,0.0,,
10173,STANDARD,NY,New York County,0.0,,
10174,STANDARD,NY,New York County,0.0,,
10177,STANDARD,NY,New York County,0.0,,
10199,STANDARD,NY,New York County,0.0,,
10271,STANDARD,NY,New York County,0.0,,
