1 Mile,1/2 Mile,10 Miles,20 Miles,Children.1 Mile,Children.1/2 Mile,Children.10 Miles,Children.20 Miles,County,Low Access Only.1 and 20 Miles,Low Access Only.1/2 and 10 Miles,Low Income People.1 Mile,Low Income People.1/2 Mile,Low Income People.10 Miles,Low Income People.20 Miles,Low Income and Low Access.1 and 20 Miles,Low Income and Low Access.1/2 and 10 Miles,People.1 Mile,People.1/2 Mile,People.10 Miles,People.20 Miles,Population,Residing in Group Quarters,Rural Housing Percentage,Seniors.1 Mile,Seniors.1/2 Mile,Seniors.10 Miles,Seniors.20 Miles,State,Total Housing Units,Urban Housing Percentage
604.3896701,708.3472127,167.4708854,0,4961.140845,5558.405559,1114.80424,0,Abbeville,0.166666667,0.5,9451.794654,10638.20832,2422.056046,0,0.166666667,0.5,21510.19482,24360.33225,5176.769348,0,25417,901,0.833333333,3409.212342,3960.807731,984.8604346,0,SC,9990,0.166666667
410.45689,904.4080279,15.4082737,0,9075.893649,12245.47058,180.2665591,0,Acadia,0.25,0.5,11284.81213,17453.87802,233.7670294,0,0.25,0.5,32874.79307,44415.58912,625.9709599,0,61773,1050,0.5,3643.694593,5299.224741,72.96249852,0,LA,22841,0.5
1063.331475,1195.633269,225.5040039,0,5789.895986,6410.933244,135.0000019,0,Accomack,0,0.090909091,10809.97223,11984.53711,252.378241,0,0,0,26847.70482,30163.64972,727.000007,0,33164,428,1,4888.553101,5621.920635,156.0000009,0,VA,13798,0
861.3315539,3291.339993,2.431201558,0.00875838,41152.1807,82914.67049,58.86707168,1.118472472,Ada,0.508474576,0.915254237,28009.70711,76201.38101,48.99173978,0.532825746,0.033898305,0.203389831,137142.5048,299582.0814,209.4716262,1.931906998,392365,9714,0.06779661,12499.89274,30282.70781,22.88334955,0,ID,148445,0.93220339
61.76970798,74.37821948,2.650824695,0,1100.635551,1217.277387,139.1564441,0,Adair,0,0.333333333,1358.349543,1541.07575,157.9810003,0,0,0,4916.79045,5496.847853,605.0662874,0,7682,151,1,972.1602328,1132.09331,118.8623988,0,IA,3292,0
306.9779494,393.2994484,16.74007996,0,3394.745457,3854.50953,264.1449507,0,Adair,0,0.142857143,7112.8246,8161.16748,551.0133849,0,0,0.142857143,14058.08633,16197.37953,1068.049343,0,18656,1055,1,2071.0113,2358.872729,166.223946,0,KY,7285,0
399.8782917,641.2311228,22.13774195,0,3064.137954,4206.14109,275.9314772,0,Adair,0.142857143,0.714285714,5490.210888,9071.183748,422.7315333,0,0.142857143,0.714285714,13186.97002,21611.2062,1119.634024,0,25607,2900,0.428571429,1953.400566,2645.132046,178.6474177,0,MO,9877,0.571428571
284.569765,367.3539558,15.37604084,0,4669.871297,5443.217595,311.5028661,0,Adair,0.2,0.4,9564.539217,11044.65469,531.1358378,0,0.2,0.4,17285.97497,19747.83242,1067.465756,0,22683,92,0.8,2235.270215,2553.498415,166.3496043,0,OK,8156,0.2
1100.647645,4629.282105,2.766331233,0.233016344,38733.7646,91410.75785,310.5045829,7.644369697,Adams,0.443298969,0.886597938,27188.67653,92400.38141,159.9536287,6.797278039,0.164948454,0.443298969,129759.3745,316247.8734,1100.740722,36.21271418,441603,4027,0.072164948,8837.08504,25446.74141,84.91230991,3.247737947,CO,153764,0.927835052
9.354064648,32.07655234,0.356842795,0,498.9709945,641.6591158,51.91259598,0,Adams,0,0,714.9917522,1008.839039,71.27473093,0,0,0,2367.543437,3091.34134,243.4612725,0,4029,114,1,463.9124789,642.7694156,58.69865213,0,IA,1715,0
24.19387024,26.54293311,4.823672577,0.533277782,426.1416677,455.5071864,64.7580866,7.317085192,Adams,0,0,962.289276,1037.916159,163.7263572,15.64253475,0,0,2492.223434,2686.260296,424.2091018,39.9800677,3976,21,1,555.4752538,614.1597048,107.6617271,11.46562778,ID,1748,0
346.2510307,1090.814627,15.89847904,0,7145.025919,11765.36021,852.7222845,0,Adams,0.166666667,0.777777778,6741.466969,13915.32439,875.151678,0,0,0.388888889,29246.60867,49605.06843,3500.701159,0,67103,2287,0.277777778,4707.951846,8406.660697,602.0661596,0,IL,27375,0.722222222
1102.433482,1330.57363,0.438988529,0,7779.823264,9960.008289,1.866413891,0,Adams,0.428571429,0.428571429,9071.067385,12052.88601,2.913659513,0,0.142857143,0.142857143,22940.88212,31448.74848,3.732827783,0,34387,421,0.571428571,3003.771772,4337.504631,0.414758638,0,IN,12011,0.428571429
811.5624046,1115.44807,9.545184509,0,4325.809931,6305.845715,131.7835222,0,Adams,0.444444444,0.666666667,11784.80643,15750.42266,317.9288741,0.419748515,0.333333333,0.444444444,20122.27106,28662.71584,569.7221867,0.740898397,32297,2320,0.333333333,2893.152477,4388.142458,92.83101471,0,MS,12643,0.666666667
5.96107693,17.11605431,2.796018565,0,192.9675666,264.4966096,92.90265841,2.510653271,Adams,0,1,498.3589971,625.3789014,254.4038771,7.469743002,0,1,1038.168569,1350.377053,527.7341808,14.87545953,2343,52,1,237.8985389,310.9486987,142.1547741,7.2472486,ND,1098,0
161.4910399,409.1593415,9.226488053,0,3206.020592,5462.862286,311.2973613,0,Adams,0.444444444,0.777777778,4054.091625,7580.807572,297.3711424,0,0.222222222,0.333333333,13563.35853,23311.41714,1213.955563,0,31364,1554,0.222222222,2462.705277,3858.429227,186.6391488,0,NE,12466,0.777777778
353.2860424,504.2810326,4.485085949,0,4995.851579,5868.080714,181.0306463,0,Adams,0.166666667,0.333333333,9628.227157,11311.30075,479.355533,0,0.166666667,0.333333333,20153.79181,23530.97734,791.6686542,0,28550,338,0.833333333,2792.392244,3344.335459,102.320301,0,OH,11147,0.166666667
858.0782537,1274.314087,0,0,16153.0827,19160.92211,0,0,Adams,0.173913043,0.347826087,15604.99477,19724.08392,0,0,0,0.043478261,70371.81979,85736.73104,0,0,101407,3993,0.652173913,10358.60376,13415.50042,0,0,PA,38013,0.347826087
50.53432432,124.8175554,8.079956801,0.06867709,3426.721918,4943.452099,467.892305,66.10589945,Adams,0.2,0.8,5143.864867,7323.655247,701.9543809,121.3275651,0.2,0.8,9790.012246,13811.46899,1813.25276,335.2917771,18728,162,0.4,919.9164137,1294.6508,306.30054,78.59726355,WA,5720,0.6
212.7067827,277.0837129,26.52926306,0,2878.577735,3262.828908,563.6753207,0,Adams,0,0.571428571,6405.854768,7207.217933,1249.543977,0,0,0.428571429,18388.84894,19943.74642,3389.665147,0,20875,1432,1,4297.896643,4614.810067,825.3702397,0,WI,8666,0
270.4609407,422.5894249,0.533972719,0,6046.182406,6889.811326,4.168600157,0,Addison,0.2,0.2,6258.88867,8403.893604,9.336153158,0,0.2,0.2,27325.41085,32722.2646,28.2690345,0,36821,2852,0.8,3796.4599,4518.32234,4.805152643,0,VT,14084,0.2
2083.319032,3397.412158,43.71038812,0,23597.14226,31844.26091,608.3770165,0,Aiken,0.393939394,0.545454545,33843.36756,48193.81292,893.479362,0,0.090909091,0.181818182,100872.3619,138224.6227,2168.095408,0,160099,2439,0.484848485,14540.3314,21018.08596,251.7451313,0,SC,64253,0.515151515
238.7263019,321.0805902,103.4174296,3.377895202,2367.44556,2740.034352,855.3659169,19.55473575,Aitkin,0,0.5,5008.851719,5770.868615,1944.291994,63.63166869,0,0.5,13797.61309,15254.99295,4916.416544,200.6296539,16202,274,1,3815.845868,4167.246513,1320.00829,62.82560016,MN,7299,0
1911.034928,5082.240652,1.963278041,0,21738.23833,37082.77592,33.07201436,0,Alachua,0.357142857,0.660714286,34761.3219,76529.32898,82.2097971,0,0.196428571,0.464285714,106916.2448,198799.0466,191.0703032,0,247336,13920,0.285714286,14216.7237,22578.51669,25.19569824,0,FL,100516,0.714285714
1749.939808,2895.766937,0.459258829,0,20177.2367,30082.1945,722.9764121,0,Alamance,0.555555556,0.694444444,32736.36652,48403.18819,920.2162993,0,0.222222222,0.25,87994.85692,128085.9565,2861.016177,0,151131,4229,0.333333333,11800.42515,17951.04575,315.6001841,0,NC,59960,0.666666667
2449.441325,16055.10639,3.275905084,0,45859.41387,181724.7585,14.97655544,0,Alameda,0.216666667,0.680555556,27326.01862,160532.2577,7.479724854,0,0.041666667,0.244444444,190944.3297,757614.7222,111.8658841,0,1510271,37442,0.016666667,20808.38172,82950.20422,18.06012901,0,CA,545138,0.983333333
106.047167,196.4800395,21.99483241,1.774326034,1472.878032,2561.256531,210.6493658,5.155849697,Alamosa,0.5,0.75,2224.688841,3917.336496,316.6867557,17.57329526,0.5,0.75,5791.60689,9652.189026,780.894017,68.55243062,15445,740,0.5,718.5384081,1075.077385,112.4324627,10.68920512,CO,5995,0.5
3223.394343,9542.531274,11.98799178,0,23224.89337,45372.35721,207.6300281,0,Albany,0.44,0.813333333,19820.82709,50369.63185,153.7464399,0,0.053333333,0.24,112026.4165,225350.362,1005.170626,0,304204,17024,0.106666667,17213.92824,32818.86949,144.213169,0,NY,126251,0.893333333
141.1587238,420.728456,0.288373105,0,3625.412958,5297.049312,341.4776751,176.2349168,Albany,0.5,0.9,5591.793137,12211.15865,359.6098061,243.1887759,0.1,0.5,17725.09018,31175.31575,2010.579866,1177.394463,36299,2248,0.2,1676.641508,2746.394206,409.8186052,289.7590084,WY,15691,0.8
740.7053908,1309.891248,3.197777421,0,13370.54588,18580.09682,51.36993548,0,Albemarle,0.181818182,0.409090909,9819.657623,16078.51937,69.54222849,0,0.045454545,0.181818182,56648.11187,82659.20244,289.1695166,0,98970,6864,0.545454545,8479.251754,11843.70574,51.70131064,0,VA,38157,0.454545455
179.2918267,188.7037123,27.0117426,0,1474.569999,1513.881702,158.9749765,0,Alcona,0,0.2,4034.146554,4155.143457,508.0112897,0,0,0.2,10120.44031,10421.52195,1264.48249,0,10942,127,1,3181.415338,3280.362219,413.613934,0,MI,5089,0
524.0864421,769.0688886,21.61858458,0,6828.845755,8132.158471,284.1279583,0,Alcorn,0.285714286,0.428571429,11926.95186,14665.70452,392.1363515,0,0.142857143,0.142857143,28022.02974,33431.89231,1177.211228,0,37057,435,0.714285714,4297.780989,5232.487841,152.2934781,0,MS,15039,0.285714286
113.4955365,141.0005239,61.5322859,38.42729086,229.1369953,317.6394037,56.0000005,35.00000039,Aleutians East,1,1,1235.612066,1500.330612,699.7189612,640.0997863,1,1,2289.55031,2816.445715,1226.050471,1122.13804,3141,1726,1,102.1984603,132.9827731,43.52521766,42.00000142,AK,553,0
108.4367965,141.4360291,62.41583328,62.24096307,473.9957185,612.0194365,72.87175715,71.99999888,Aleutians West,0.5,0.5,1569.045516,2029.884594,400.7432022,396.3005722,0.5,0.5,3489.220329,4299.800005,717.3822682,706.0000107,5561,2543,1,120.8080029,142.1425646,40.49330979,40.0000002,AK,1212,0
238.3898756,361.6335095,101.3615808,0,1225.299504,1507.74522,559.9826015,0,Alexander,0.25,0.75,2622.233329,3199.86687,1408.553069,0,0.25,0.75,5817.683485,6823.847475,3208.796822,0,8238,543,0.5,973.0625272,1146.554035,530.4746479,0,IL,3329,0.5
484.305115,540.4454479,1.523340594,0,7255.371412,8090.320844,17.02105391,0,Alexander,0.285714286,0.285714286,11471.9224,12844.0135,21.00158226,0,0.142857143,0.142857143,31707.04613,35480.24222,61.00959633,0,37198,1161,0.714285714,4495.13826,5198.77118,10.76204899,0,NC,14425,0.285714286
0,1018.295423,0,0,0,6271.481769,0,0,Alexandria,0,0.447368421,0,4403.86393,0,0,0,0.105263158,0,31562.91301,0,0,139966,1827,0,0,3278.542791,0,0,VA,68082,1
39.05346137,51.62618752,28.09478205,0,721.8833505,949.7209026,513.4301708,0,Alfalfa,0,0.666666667,1356.979924,1632.501143,1045.573812,0,0,0,4362.443381,5310.26274,3429.267964,0,5642,1054,1,873.2875875,1059.155337,659.1432616,0,OK,2022,0
135.9037497,159.5940786,36.48955531,8.650966961,1258.484281,1371.927448,603.0690585,115.5082949,Alger,0.333333333,1,2848.68311,3038.736256,1208.939369,350.508451,0.333333333,1,7629.074538,8179.689105,3335.69165,868.7945308,9601,1022,1,1487.846695,1600.957875,795.577336,310.0735267,MI,3898,0
163.6917651,232.1175665,19.81626626,0,2164.785117,2649.103189,269.1822697,0,Allamakee,0.2,0.6,3100.30508,4014.439727,347.3983913,0,0,0,9511.876189,11873.96317,1295.094913,0,14330,332,0.8,1805.138,2382.063174,264.923948,0,IA,5845,0.2
773.9012312,1191.936448,1.951730823,0,20649.34323,25698.33762,76.27326359,0,Allegan,0.28,0.36,22211.44619,29150.6381,75.8044155,0,0.04,0.08,77907.0535,97833.51055,298.879756,0,111408,954,0.64,9353.263927,12371.16961,22.34872141,0,MI,42018,0.36
1248.686328,2007.139563,29.76290141,0,8161.928956,11190.89569,216.2547444,0,Allegany,0.347826087,0.565217391,18380.01683,23769.46303,387.8052013,0,0.304347826,0.52173913,49682.90208,63802.28547,1132.61487,0,75087,7924,0.391304348,8434.398279,11114.95312,232.1907851,0,MD,29177,0.608695652
858.1237283,1031.192077,3.135058499,0,7927.769222,8945.340401,55.11397421,0,Allegany,0,0,14527.75836,16196.2657,52.8832945,0,0,0,38070.8379,42291.47777,173.6000983,0,48946,4584,1,5427.966411,6195.009312,23.32149853,0,NY,18208,0
151.6300464,213.63577,1.564462827,0,1791.302638,2028.180874,61.02513169,0,Alleghany,0,0,4485.066137,5081.642081,152.0132399,0,0,0,8993.258943,10061.12325,402.7437315,0,11155,111,1,1783.935607,2005.343258,84.93311137,0,NC,4778,0
152.3189606,266.9031074,0.116626802,0,2297.420766,2849.70642,66.1306329,0,Alleghany,0,0.166666667,3137.299083,4030.635962,193.488026,0,0,0.166666667,11030.36006,13657.87896,341.7653335,0,16250,281,0.833333333,2168.687303,2770.080594,71.34771035,0,VA,6891,0.166666667
13813.49354,46232.2741,0,0,86478.27062,183082.8387,0,0,Allegheny,0.430348259,0.853233831,87109.82527,244314.0416,0,0,0.089552239,0.300995025,396959.4487,897174.4879,0,0,1223348,35054,0.034825871,66927.40058,149730.0367,0,0,PA,533960,0.965174129
3642.118945,6778.045277,16.41867679,0,49812.34636,79909.51831,254.9498178,0,Allen,0.541666667,0.84375,46989.33204,85331.03338,344.7571838,0,0.229166667,0.395833333,180456.7852,293907.9114,1221.307321,0,355329,6107,0.135416667,20990.69427,34366.95135,223.5672229,0,IN,137851,0.864583333
215.2579833,247.8520416,30.57950735,0,2199.057328,2824.894751,389.354796,0,Allen,0.4,0.6,3042.678554,3929.925215,540.2754415,0,0.2,0.2,9308.223897,12065.33662,1636.30933,0,13371,382,0.6,1683.379363,2180.023975,357.8290965,0,KS,5475,0.4
319.9083805,405.549497,5.436533296,0,3824.492914,4313.60996,62.42216263,0,Allen,0.166666667,0.166666667,6638.960647,7695.088619,103.0028813,0,0.166666667,0.166666667,15432.37288,17417.39348,246.2374709,0,19956,197,0.833333333,2199.331262,2494.564147,48.37841731,0,KY,7848,0.166666667
253.7536136,498.9936254,99.96069392,0,4203.935011,5201.539244,1612.405787,0,Allen,0.2,0.8,9130.071699,11072.80924,2931.99722,0,0.2,0.6,19285.33294,23221.09942,5938.743355,0,25764,4200,0.6,2229.65302,2972.661197,848.1291786,0,LA,8516,0.4
768.4037513,2321.889096,0,0,12169.56535,19976.10874,0,0,Allen,0.363636364,0.636363636,12785.78482,26723.56958,0,0,0.181818182,0.393939394,49774.66164,84954.37696,0,0,106331,5934,0.303030303,7559.503868,12557.31785,0,0,OH,40619,0.696969697
151.253894,353.5501057,16.44129088,0,803.6640025,1453.433824,35.9236425,0,Allendale,0,0,1869.135108,3643.475535,92.56977887,0,0,0,4775.926596,7229.185495,205.5299827,0,10419,1342,1,598.9569302,977.826502,38.12719887,0,SC,3706,0
228.503986,610.8375087,21.12754051,0,3270.683262,5194.046423,300.8179829,0,Alpena,0.2,0.6,5257.223984,9647.57429,518.0442421,0,0.1,0.4,15312.6534,24551.26495,1464.985608,0,29598,514,0.5,2748.202002,4695.306877,299.0184408,0,MI,12791,0.5
7.278884362,7.278884362,2.139004478,0,255.9999964,255.9999964,114.0689377,18.00000011,Alpine,0,1,312.8881981,312.8881981,152.611752,24.66738227,0,0,1174.999992,1174.999992,652.5959351,121.0000001,1175,24,1,165.9999976,165.9999976,101.6135993,17.00000006,CA,497,0
365.5446562,535.7885937,1.672144917,0,3780.389889,5353.389924,8.000000069,0,Amador,0,0,5814.115884,7655.97074,16.20583952,0,0,0,25533.34738,33136.76141,62.55208411,0,38091,4551,1,5224.496309,6945.610148,11.50193729,0,CA,14569,0
133.992734,137.8914473,16.70327073,0,2766.853952,2810.698038,374.0447639,0,Amelia,0,1,3582.782545,3660.360342,416.9077143,0,0,0.5,12430.45156,12633.17253,1854.673934,0,12690,128,1,1955.948487,1990.325411,261.1120614,0,VA,4821,0
572.8088563,740.2169536,7.632355927,0,5430.459224,6467.387747,79.17307528,0,Amherst,0.444444444,0.444444444,8329.783399,9836.068187,94.12536455,0,0.444444444,0.444444444,25298.89628,30096.4312,402.2669646,0,32353,1538,0.555555556,3876.885699,4855.146978,74.8787133,0,VA,12560,0.444444444
324.5016793,346.4864998,67.73746217,0,2745.78547,2862.666512,516.9606173,0,Amite,0,0.666666667,7106.896739,7387.424199,1428.189764,0,0,0.666666667,12177.16937,12741.09922,2391.52459,0,13131,116,1,2155.783973,2320.036824,418.3082062,0,MS,5351,0
1036.57455,3845.847131,1.128184582,0.060213964,26787.85232,56425.28279,52.02201083,1.271887933,Anchorage,0.490909091,0.945454545,14896.12042,41010.73085,14.89539112,0.559630698,0.090909091,0.290909091,103748.7923,218933.2758,299.5950232,12.71887932,291826,8450,0.054545455,7101.283035,15484.54833,22.60707335,0.317971983,AK,107332,0.945454545
75.5881408,225.6571716,27.61570048,0,1256.002728,1789.127766,384.3839816,0,Anderson,0,0.5,1791.964989,2879.718524,576.0024164,0,0,0.5,4906.221183,6963.920929,1498.826158,0,8102,103,1,893.7133678,1305.806758,271.063058,0,KS,3260,0
137.4929036,201.7645014,0,0,4103.847468,4971.718052,0,0,Anderson,0.2,0.2,3665.912031,4590.128381,0,0,0,0,16095.13608,19717.8734,0,0,21421,108,0.8,1805.470887,2385.807113,0,0,KY,8369,0.2
2409.972042,3752.969379,180.6157002,0,32436.60144,40603.9552,1130.969009,0,Anderson,0.461538462,0.641025641,45355.28878,60200.55058,2228.565486,0,0.153846154,0.256410256,133505.6349,168294.4357,4840.529767,0,187126,2764,0.384615385,19345.07241,24914.35595,884.4470878,0,SC,73829,0.615384615
702.451046,1673.344092,1.512758573,0,9290.920906,13710.74594,4.528697749,0,Anderson,0.277777778,0.444444444,13949.28139,21611.50752,12.13152652,0,0,0.166666667,42245.13627,62648.3472,30.75561767,0,75129,1183,0.555555556,6953.202954,10729.69682,5.502199239,0,TN,31253,0.444444444
640.2925453,844.4825926,89.95774932,0,7821.658697,10306.239,1289.235919,0,Anderson,0.181818182,0.636363636,14417.66922,18479.72511,1943.782011,0,0.090909091,0.181818182,45324.05163,54022.27443,12890.38273,0,58458,14217,0.636363636,5500.302118,6747.928968,1082.127976,0,TX,17218,0.363636364
186.5250008,216.4835383,11.94748196,0,2829.364452,3489.309718,202.8564278,0,Andrew,0.25,0.5,2800.045217,3538.912683,221.8410892,0,0,0,12071.11325,14846.01247,852.3340615,0,17291,192,0.75,1693.870298,2297.886469,129.7891441,0,MO,6700,0.25
