city,state,2015_murders,2016_murders,change,source,as_of,population,"murder rate (per 100,000)"
Chicago,Illinois,378,536,158,https://portal.chicagopolice.org/portal/page/portal/ClearPath/News/Crime%20Statistics,10/2/16,2720546,19.7
Orlando,Florida,19,73,54,OPD,9/22/16,270934,26.9
Memphis,Tennessee,114,158,44,MPD,9/11/16,655770,24.1
Phoenix,Arizona,72,111,39,PPD,8/31/16,1563025,7.1
Las Vegas,Nevada,90,125,35,http://www.lvmpd.com/Sections/Homicide/HomicideLog/tabid/454/Default.aspx,9/28/16,623747,20
San Antonio,Texas,78,111,33,SAPD,9/26/16,1469845,7.6
Louisville,Kentucky,52,79,27,https://louisvilleky.gov/government/police/lmpd-transparency,8/31/16,615366,12.8
Dallas,Texas,95,118,23,DPD,8/31/16,1300092,9.1
Houston,Texas,191,212,21,http://www.houstontx.gov/police/cs/index-2.htm,8/31/16,2296224,9.2
Fort Wayne,Indiana,17,34,17,FWPD,9/26/16,260326,13.1
Atlanta,Georgia,68,85,17,http://www.atlantapd.org/crimedatadownloads.aspx,9/24/16,463878,18.3
Indianapolis,Indiana,102,117,15,IPD,10/2/16,853173,13.7
Austin,Texas,13,28,15,http://www.austintexas.gov/page/chiefs-monthly-reports,8/31/16,931830,3
Kansas City,Missouri,77,90,13,http://kcmo.gov/police/homicide-3/crime-stats/,10/4/16,475378,18.9
Arlington,Texas,4,17,13,http://www.arlington-tx.gov/police/wp-content/uploads/sites/9/2016/08/UCR-Crime-Summary.pdf,8/31/16,388125,4.4
San Jose,California,22,35,13,http://www.sjpd.org/CrimeStats/updates/Part_One_Crimes_Reported_YTD.pdf?cacheID=20160921,8/31/16,1026908,3.4
Albuquerque,New Mexico,35,46,11,APD,9/21/16,559121,8.2
Jacksonville,Florida,67,78,11,JPSO,9/21/16,67357,115.8
Santa Ana,California,10,20,10,SAPD,9/21/16,335400,6
Tulsa,Oklahoma,43,52,9,TPD,9/27/16,403505,12.9
Lincoln,Nebraska,0,9,9,http://www.lincoln.ne.gov/city/police/stats/stats.htm,8/31/16,277348,3.2
Stockton,California,30,38,8,SPD,9/21/16,305658,12.4
Anchorage,Alaska,19,26,7,APD,9/27/16,298695,8.7
Buffalo,New York,31,38,7,http://www.bpdny.org/Home/Statistics,9/24/16,258071,14.7
San Diego,California,23,30,7,http://crimestats.arjis.org/default.aspx,8/31/16,1394928,2.2
Mobile,Alabama,6,12,6,https://www.mobilepd.org/precinct/pdf/UCR_April_Public.pdf,4/30/16,194288,6.2
Greensboro,North Carolina,15,20,5,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=29678,10/2/16,285342,7
Durham,North Carolina,25,30,5,https://durhamnc.gov/ArchiveCenter/ViewFile/Item/2419,10/1/16,257636,11.6
Detroit,Michigan,216,221,5,DPD,9/25/16,677116,32.6
St. Petersburg,Florida,9,14,5,SPPD,8/31/16,#N/A,#N/A
Philadelphia,Pennsylvania,209,213,4,https://www.phillypolice.com/crime-maps-stats/,10/4/16,1567442,13.6
Long Beach,California,25,29,4,http://homicide.latimes.com/neighborhood/long-beach/year/2016,9/20/16,474140,6.1
Lexington,Kentucky,13,16,3,LPD,9/28/16,314488,5.1
Aurora,Colorado,13,16,3,APD,9/21/16,200661,8
Jersey City,New Jersey,11,14,3,http://www.njjcpd.org/node/5,8/31/16,264290,5.3
Plano,Texas,2,5,3,http://www.plano.gov/DocumentCenter/View/119,8/31/16,283558,1.8
Colorado Springs,Colorado,12,15,3,http://www.krdo.com/news/local-news/springs-womans-shooting-death-ruled-homicide-/73436432,8/2/16,456568,3.3
Toledo,Ohio,5,8,3,TPD,6/24/16,279789,2.9
El Paso,Texas,12,14,2,ELPD,9/21/16,681124,2.1
Laredo,Texas,7,9,2,LPD,9/21/16,255473,3.5
Nashville,Tennessee,47,49,2,NPD,9/21/16,654610,7.5
Oklahoma City,Oklahoma,28,30,2,OKCPD,6/30/16,631346,4.8
Henderson,Nevada,1,3,2,HPD,4/30/16,285667,1.1
Chandler,Arizona,2,3,1,CPD,9/21/16,260828,1.2
Denver,Colorado,32,33,1,https://www.denvergov.org/content/dam/denvergov/Portals/720/documents/statistics/2016/UCR_Citywide_Reported_Offenses_2016.pdf,8/31/16,682545,4.8
Riverside,California,6,7,1,http://www.riversideca.gov/rpd/crstats/cstats.asp,8/31/16,322424,2.2
Bakersfield,California,21,22,1,BPD,6/23/16,373640,5.9
Boston,Massachusetts,28,28,0,BPD,9/27/16,667137,4.2
Cincinnati,Ohio,50,50,0,http://www.cincinnati-oh.gov/police/crime-statistics/city-wide-stars-report/,9/24/16,298550,16.7
Pittsburgh,Pennsylvania,46,46,0,PPD,9/21/16,304391,15.1
Columbus,Ohio,71,70,-1,CPD,9/24/16,850106,8.2
Raleigh,North Carolina,8,7,-1,RPD,7/17/16,451066,1.6
Corpus Christi,Texas,10,9,-1,CCPD,6/24/16,324074,2.8
Charlotte-Mecklenburg,North Carolina,27,25,-2,http://charlottenc.gov/CMPD/Safety/Pages/CrimeStats.aspx,6/30/16,#N/A,#N/A
New Orleans,Louisiana,130,127,-3,NOPD,9/27/16,389617,32.6
San Francisco,California,35,32,-3,SFPD,9/27/16,864816,3.7
Seattle,Washington,17,14,-3,http://www.seattle.gov/seattle-police-department/crime-data/crime-dashboard,8/31/16,684451,2
St. Louis,Missouri,136,133,-3,http://www.slmpd.org/crime_stats.shtml,8/31/16,#N/A,#N/A
Honolulu,Hawaii,12,9,-3,HPD,6/30/16,#N/A,#N/A
Wichita,Kansas,13,10,-3,MCCA,6/30/16,389965,2.6
Virginia Beach,Virginia,17,13,-4,https://eprodmz.vbgov.com/MainUI/Crimes/CrimeSearch.aspx,9/30/16,452745,2.9
Newark,New Jersey,76,72,-4,http://npd.newarkpublicsafety.org/comstat,9/25/16,281944,25.5
