State,State Abb,County,UID (county-state),Unemployment Rate,Population
California,CA,Los Angeles,Los Angeles-CA,6.65,9818605
Illinois,IL,Cook,Cook-IL,6.091666667,5194675
Texas,TX,Harris,Harris-TX,4.625,4092459
Arizona,AZ,Maricopa,Maricopa-AZ,5.166666667,3817117
California,CA,San Diego,San Diego-CA,5.2,3095313
California,CA,Orange,Orange-CA,4.483333333,3010232
New York,NY,Kings,Kings-NY,5.866666667,2504700
Texas,TX,Dallas,Dallas-TX,4.275,2368139
New York,NY,Queens,Queens-NY,4.983333333,2230722
California,CA,Riverside,Riverside-CA,6.716666667,2189641
California,CA,San Bernardino,San Bernardino-CA,6.45,2035210
Nevada,NV,Clark,Clark-NV,6.8,1951269
Washington,WA,King,King-WA,4.441666667,1931249
Michigan,MI,Wayne,Wayne-MI,1.358333333,1820584
Texas,TX,Tarrant,Tarrant-TX,4.141666667,1809034
California,CA,Santa Clara,Santa Clara-CA,4.15,1781642
Texas,TX,Bexar,Bexar-TX,3.825,1714773
New York,NY,New York,New York-NY,4.808333333,1585873
Pennsylvania,PA,Philadelphia,Philadelphia-PA,6.866666667,1526006
California,CA,Alameda,Alameda-CA,4.741666667,1510271
Massachusetts,MA,Middlesex,Middlesex-MA,4.058333333,1503085
New York,NY,Suffolk,Suffolk-NY,4.808333333,1493350
California,CA,Sacramento,Sacramento-CA,6,1418788
New York,NY,Bronx,Bronx-NY,7.741666667,1385108
New York,NY,Nassau,Nassau-NY,4.316666667,1339532
Ohio,OH,Cuyahoga,Cuyahoga-OH,5,1280122
Pennsylvania,PA,Allegheny,Allegheny-PA,4.808333333,1223348
Michigan,MI,Oakland,Oakland-MI,0.933333333,1202362
Ohio,OH,Franklin,Franklin-OH,4.083333333,1163414
Minnesota,MN,Hennepin,Hennepin-MN,3.283333333,1152425
Virginia,VA,Fairfax,Fairfax-VA,3.566666667,1081726
California,CA,Contra Costa,Contra Costa-CA,5,1049025
Utah,UT,Salt Lake,Salt Lake-UT,3.333333333,1029655
Texas,TX,Travis,Travis-TX,3.266666667,1024266
Arizona,AZ,Pima,Pima-AZ,5.541666667,980263
Maryland,MD,Montgomery,Montgomery-MD,3.975,971777
Hawaii,HI,Honolulu,Honolulu-HI,3.391666667,953207
New York,NY,Westchester,Westchester-NY,4.608333333,949113
Wisconsin,WI,Milwaukee,Milwaukee-WI,5.85,947735
California,CA,Fresno,Fresno-CA,10.18333333,930450
Tennessee,TN,Shelby,Shelby-TN,6.633333333,927644
North Carolina,NC,Mecklenburg,Mecklenburg-NC,5.358333333,919628
New York,NY,Erie,Erie-NY,5.425,919040
Illinois,IL,Dupage,Dupage-IL,4.658333333,916924
Connecticut,CT,Fairfield,Fairfield-CT,5.266666667,916829
New Jersey,NJ,Bergen,Bergen-NJ,4.558333333,905116
Indiana,IN,Marion,Marion-IN,5,903393
North Carolina,NC,Wake,Wake-NC,4.641666667,900993
Connecticut,CT,Hartford,Hartford-CT,5.866666667,894014
Maryland,MD,Prince George's,Prince George's-MD,5.316666667,863420
Connecticut,CT,New Haven,New Haven-CT,6.133333333,862477
Michigan,MI,Macomb,Macomb-MI,1.116666667,840978
California,CA,Kern,Kern-CA,10.20833333,839631
California,CA,Ventura,Ventura-CA,5.675,823318
New Jersey,NJ,Middlesex,Middlesex-NJ,4.991666667,809858
California,CA,San Francisco,San Francisco-CA,3.633333333,805235
Maryland,MD,Baltimore,Baltimore-MD,5.45,805029
Ohio,OH,Hamilton,Hamilton-OH,4.5,802374
Texas,TX,El Paso,El Paso-TX,5.225,800647
Pennsylvania,PA,Montgomery,Montgomery-PA,4.025,799874
Massachusetts,MA,Worcester,Worcester-MA,5.3,798552
Washington,WA,Pierce,Pierce-WA,6.35,795225
New Jersey,NJ,Essex,Essex-NJ,6.725,783969
Texas,TX,Collin,Collin-TX,3.65,782341
Texas,TX,Hidalgo,Hidalgo-TX,7.933333333,774769
New York,NY,Monroe,Monroe-NY,5.15,744344
