zip,type,state,county
501,UNIQUE,NY,Suffolk County
544,UNIQUE,NY,Suffolk County
601,STANDARD,PR,Adjuntas Municipio
602,STANDARD,PR,Aguada Municipio
603,STANDARD,PR,Aguadilla Municipio
604,PO BOX,PR,
605,PO BOX,PR,
606,STANDARD,PR,Maricao Municipio
610,STANDARD,PR,Anasco Municipio
611,PO BOX,PR,
612,STANDARD,PR,Arecibo Municipio
613,PO BOX,PR,
614,PO BOX,PR,
616,STANDARD,PR,Arecibo Municipio
617,STANDARD,PR,Barceloneta Municipio
622,STANDARD,PR,Cabo Rojo Municipio
623,STANDARD,PR,Cabo Rojo Municipio
624,STANDARD,PR,Penuelas Municipio
627,STANDARD,PR,Camuy Municipio
631,PO BOX,PR,Lares Municipio
636,PO BOX,PR,
637,STANDARD,PR,Sabana Grande Municipio
638,STANDARD,PR,Ciales Municipio
641,STANDARD,PR,Utuado Municipio
646,STANDARD,PR,Dorado Municipio
647,STANDARD,PR,Guanica Municipio
650,STANDARD,PR,Florida Municipio
652,STANDARD,PR,Arecibo Municipio
653,STANDARD,PR,Guanica Municipio
656,STANDARD,PR,Guayanilla Municipio
659,STANDARD,PR,Hatillo Municipio
660,STANDARD,PR,Hormigueros Municipio
662,STANDARD,PR,Isabela Municipio
664,STANDARD,PR,Jayuya Municipio
667,STANDARD,PR,Lajas Municipio
669,STANDARD,PR,Lares Municipio
670,STANDARD,PR,Las Marias Municipio
674,STANDARD,PR,Manati Municipio
676,STANDARD,PR,Moca Municipio
677,STANDARD,PR,Rincon Municipio
678,STANDARD,PR,Quebradillas Municipio
680,STANDARD,PR,Mayaguez Municipio
681,PO BOX,PR,
682,STANDARD,PR,Mayaguez Municipio
683,STANDARD,PR,San German Municipio
685,STANDARD,PR,San Sebastian Municipio
687,STANDARD,PR,Morovis Municipio
688,STANDARD,PR,Arecibo Municipio
690,STANDARD,PR,Aguadilla Municipio
692,STANDARD,PR,Vega Alta Municipio
693,STANDARD,PR,Vega Baja Municipio
694,PO BOX,PR,Vega Baja Municipio
698,STANDARD,PR,Yauco Municipio
703,STANDARD,PR,Aguas Buenas Municipio
704,STANDARD,PR,Salinas Municipio
705,STANDARD,PR,Aibonito Municipio
707,STANDARD,PR,Maunabo Municipio
714,STANDARD,PR,Arroyo Municipio
715,STANDARD,PR,Ponce Municipio
716,STANDARD,PR,Ponce Municipio
717,STANDARD,PR,Ponce Municipio
718,STANDARD,PR,Naguabo Municipio
719,STANDARD,PR,Naranjito Municipio
720,STANDARD,PR,Orocovis Municipio
721,PO BOX,PR,
723,STANDARD,PR,Patillas Municipio
725,STANDARD,PR,Caguas Municipio
726,PO BOX,PR,
727,STANDARD,PR,Caguas Municipio
728,STANDARD,PR,Ponce Municipio
729,STANDARD,PR,Canovanas Municipio
730,STANDARD,PR,Ponce Municipio
731,STANDARD,PR,Ponce Municipio
732,PO BOX,PR,
733,PO BOX,PR,
734,PO BOX,PR,
735,STANDARD,PR,Ceiba Municipio
736,STANDARD,PR,Cayey Municipio
737,PO BOX,PR,
738,STANDARD,PR,Fajardo Municipio
739,STANDARD,PR,Cidra Municipio
740,STANDARD,PR,Fajardo Municipio
741,STANDARD,PR,Humacao Municipio
742,PO BOX,PR,
744,PO BOX,PR,
745,STANDARD,PR,Rio Grande Municipio
751,STANDARD,PR,Salinas Municipio
754,STANDARD,PR,San Lorenzo Municipio
757,STANDARD,PR,Santa Isabel Municipio
765,STANDARD,PR,Vieques Municipio
766,STANDARD,PR,Villalba Municipio
767,STANDARD,PR,Yabucoa Municipio
769,STANDARD,PR,Coamo Municipio
771,STANDARD,PR,Las Piedras Municipio
772,STANDARD,PR,Loiza Municipio
773,STANDARD,PR,Luquillo Municipio
775,PO BOX,PR,Culebra Municipio
777,STANDARD,PR,Juncos Municipio
778,STANDARD,PR,Gurabo Municipio
780,STANDARD,PR,Ponce Municipio
782,STANDARD,PR,Comerio Municipio
783,STANDARD,PR,Corozal Municipio
784,STANDARD,PR,Guayama Municipio
785,PO BOX,PR,
786,PO BOX,PR,Aibonito Municipio
791,STANDARD,PR,Humacao Municipio
792,PO BOX,PR,
794,STANDARD,PR,Barranquitas Municipio
795,STANDARD,PR,Juana Diaz Municipio
801,PO BOX,VI,
802,STANDARD,VI,
803,PO BOX,VI,
804,PO BOX,VI,
805,PO BOX,VI,
820,STANDARD,VI,
821,PO BOX,VI,
822,PO BOX,VI,
823,PO BOX,VI,
824,PO BOX,VI,
830,STANDARD,VI,
831,PO BOX,VI,
840,STANDARD,VI,
841,PO BOX,VI,
850,STANDARD,VI,
851,PO BOX,VI,
901,STANDARD,PR,San Juan Municipio
902,PO BOX,PR,
906,PO BOX,PR,San Juan Municipio
907,STANDARD,PR,San Juan Municipio
908,PO BOX,PR,
909,STANDARD,PR,San Juan Municipio
910,PO BOX,PR,
911,STANDARD,PR,San Juan Municipio
912,STANDARD,PR,San Juan Municipio
913,STANDARD,PR,San Juan Municipio
914,PO BOX,PR,
915,STANDARD,PR,San Juan Municipio
916,PO BOX,PR,
917,STANDARD,PR,San Juan Municipio
918,STANDARD,PR,San Juan Municipio
919,PO BOX,PR,
920,STANDARD,PR,San Juan Municipio
921,STANDARD,PR,San Juan Municipio
922,PO BOX,PR,
923,STANDARD,PR,San Juan Municipio
924,STANDARD,PR,San Juan Municipio
925,STANDARD,PR,San Juan Municipio
926,STANDARD,PR,San Juan Municipio
927,STANDARD,PR,San Juan Municipio
928,PO BOX,PR,
929,PO BOX,PR,San Juan
930,PO BOX,PR,
931,PO BOX,PR,San Juan
933,PO BOX,PR,San Juan
934,STANDARD,PR,Guaynabo Municipio
935,UNIQUE,PR,San Juan
936,PO BOX,PR,San Juan Municipio
937,PO BOX,PR,San Juan
939,UNIQUE,PR,San Juan
940,PO BOX,PR,
949,STANDARD,PR,Toa Baja Municipio
950,PO BOX,PR,Dorado Municipio
951,PO BOX,PR,Toa Baja Municipio
952,STANDARD,PR,Toa Baja Municipio
953,STANDARD,PR,Toa Alta Municipio
954,PO BOX,PR,Toa Alta
955,PO BOX,PR,San Juan
956,STANDARD,PR,Bayamon Municipio
957,STANDARD,PR,Bayamon Municipio
958,PO BOX,PR,Bayamon
959,STANDARD,PR,Bayamon Municipio
960,PO BOX,PR,Bayamon Municipio
961,STANDARD,PR,Bayamon Municipio
962,STANDARD,PR,Catano Municipio
963,PO BOX,PR,Catano
965,STANDARD,PR,Guaynabo Municipio
966,STANDARD,PR,Guaynabo Municipio
968,STANDARD,PR,Guaynabo Municipio
969,STANDARD,PR,Guaynabo Municipio
970,PO BOX,PR,
971,STANDARD,PR,Guaynabo Municipio
975,UNIQUE,PR,San Juan
976,STANDARD,PR,Trujillo Alto Municipio
977,PO BOX,PR,
978,PO BOX,PR,San Juan
979,STANDARD,PR,Carolina Municipio
981,PO BOX,PR,Carolina
982,STANDARD,PR,Carolina Municipio
983,STANDARD,PR,Carolina Municipio
984,PO BOX,PR,Carolina
985,STANDARD,PR,Carolina Municipio
986,PO BOX,PR,Carolina
987,STANDARD,PR,Carolina Municipio
988,PO BOX,PR,Carolina
1001,STANDARD,MA,Hampden County
1002,STANDARD,MA,Hampshire County
1003,PO BOX,MA,Hampshire County
1004,PO BOX,MA,Hampshire County
1005,STANDARD,MA,Worcester County
1007,STANDARD,MA,Hampshire County
1008,STANDARD,MA,Hampden County
1009,PO BOX,MA,Hampden County
1010,STANDARD,MA,Hampden County
1011,STANDARD,MA,Hampden County
1012,STANDARD,MA,Hampshire County
1013,STANDARD,MA,Hampden County
1014,PO BOX,MA,Hampden County
1020,STANDARD,MA,Hampden County
1021,PO BOX,MA,Hampden County
1022,STANDARD,MA,Hampden County
1026,STANDARD,MA,Hampshire County
1027,STANDARD,MA,Hampshire County
1028,STANDARD,MA,Hampden County
1029,PO BOX,MA,Berkshire County
1030,STANDARD,MA,Hampden County
1031,STANDARD,MA,Worcester County
1032,STANDARD,MA,Hampshire County
1033,STANDARD,MA,Hampshire County
1034,STANDARD,MA,Hampden County
1035,STANDARD,MA,Hampshire County
1036,STANDARD,MA,Hampden County
1037,PO BOX,MA,Worcester County
1038,STANDARD,MA,Hampshire County
1039,STANDARD,MA,Hampshire County
1040,STANDARD,MA,Hampden County
1041,PO BOX,MA,Hampden County
1050,STANDARD,MA,Hampshire County
1053,STANDARD,MA,Hampshire County
1054,STANDARD,MA,Franklin County
1056,STANDARD,MA,Hampden County
1057,STANDARD,MA,Hampden County
1059,PO BOX,MA,Hampshire County
1060,STANDARD,MA,Hampshire County
1061,PO BOX,MA,Hampshire County
1062,STANDARD,MA,Hampshire County
1063,UNIQUE,MA,Hampshire County
1066,PO BOX,MA,Hampshire County
1068,STANDARD,MA,Worcester County
1069,STANDARD,MA,Hampden County
1070,STANDARD,MA,Hampshire County
1071,STANDARD,MA,Hampden County
1072,STANDARD,MA,Franklin County
1073,STANDARD,MA,Hampshire County
1074,PO BOX,MA,Worcester County
1075,STANDARD,MA,Hampshire County
1077,STANDARD,MA,Hampden County
1079,PO BOX,MA,Hampden County
1080,STANDARD,MA,Hampden County
1081,STANDARD,MA,Hampden County
1082,STANDARD,MA,Hampshire County
1083,PO BOX,MA,Worcester County
1084,STANDARD,MA,Hampshire County
1085,STANDARD,MA,Hampden County
1086,PO BOX,MA,Hampden County
1088,STANDARD,MA,Hampshire County
1089,STANDARD,MA,Hampden County
1090,PO BOX,MA,Hampden County
1092,PO BOX,MA,Worcester County
1093,PO BOX,MA,Franklin County
1094,PO BOX,MA,Worcester County
1095,STANDARD,MA,Hampden County
1096,STANDARD,MA,Hampshire County
1097,PO BOX,MA,Hampden County
1098,STANDARD,MA,Hampshire County
1101,PO BOX,MA,Hampden County
1102,PO BOX,MA,Hampden County
1103,STANDARD,MA,Hampden County
1104,STANDARD,MA,Hampden County
1105,STANDARD,MA,Hampden County
1106,STANDARD,MA,Hampden County
1107,STANDARD,MA,Hampden County
1108,STANDARD,MA,Hampden County
1109,STANDARD,MA,Hampden County
1111,UNIQUE,MA,Hampden County
1115,PO BOX,MA,Hampden County
1116,PO BOX,MA,Hampden County
1118,STANDARD,MA,Hampden County
1119,STANDARD,MA,Hampden County
1128,STANDARD,MA,Hampden County
1129,STANDARD,MA,Hampden County
1133,UNIQUE,MA,Hampden County
1138,PO BOX,MA,Hampden County
1139,PO BOX,MA,Hampden County
1144,STANDARD,MA,Hampden County
1151,STANDARD,MA,Hampden County
1152,STANDARD,MA,Hampden County
1195,STANDARD,MA,Hampden County
1199,UNIQUE,MA,Hampden County
1201,STANDARD,MA,Berkshire County
1202,PO BOX,MA,Berkshire County
1203,PO BOX,MA,Berkshire County
1220,STANDARD,MA,Berkshire County
1222,STANDARD,MA,Berkshire County
1223,STANDARD,MA,Berkshire County
1224,STANDARD,MA,Berkshire County
1225,STANDARD,MA,Berkshire County
1226,STANDARD,MA,Berkshire County
1227,PO BOX,MA,Berkshire County
1229,PO BOX,MA,Berkshire County
1230,STANDARD,MA,Berkshire County
1235,STANDARD,MA,Berkshire County
1236,STANDARD,MA,Berkshire County
1237,STANDARD,MA,Berkshire County
1238,STANDARD,MA,Berkshire County
1240,STANDARD,MA,Berkshire County
1242,PO BOX,MA,Berkshire County
1243,PO BOX,MA,Hampshire County
1244,PO BOX,MA,Berkshire County
1245,STANDARD,MA,Berkshire County
1247,STANDARD,MA,Berkshire County
1252,PO BOX,MA,Berkshire County
1253,STANDARD,MA,Berkshire County
